seq,first,last,age,street,city,state,zip,dollar,pick
1,Samantha,Peterson,109,Honden Lane,Vucwehe,MT,12005,$7376.66,RED
2,Victoria,Floyd,54,Bipe Trail,Ogocolow,NV,15937,$6938.58,RED
3,Owen,Floyd,47,Zawce View,Rufudfop,VT,49603,$6445.90,BLUE
4,Julian,Diaz,15,Ceko Pike,Haksiig,MA,00724,$4255.96,RED
5,Jade,Bass,48,Faltef Mill,Idibaivi,NJ,26934,$8823.94,WHITE
6,Kaitlyn,Dixon,64,Lutoh Place,Arcujab,VT,27476,$8086.17,GREEN
7,Gabriel,Greene,20,Zukze Pike,Ollukbi,MT,15519,$1734.08,YELLOW
8,Penelope,Ingram,119,Damgop Drive,Wesowfuh,ID,10544,$2136.55,WHITE
9,Connor,Nelson,15,Faczo Junction,Kodkijvi,HI,66179,$7577.61,WHITE
10,Aidan,Rivera,46,Secu Boulevard,Cunretwa,OH,69887,$6606.05,YELLOW
11,Gage,Carr,59,Ohebo Trail,Liwifhew,WY,02409,$8566.09,RED
12,Levi,Munoz,83,Rigo Court,Jaupova,WI,44142,$9004.53,YELLOW
13,Lexi,Wagner,6,Nideda Mill,Kipdiuro,AZ,52943,$2850.85,BLUE
14,Charlotte,Wells,26,Vafmo Square,Nufuwu,CT,06903,$9061.40,GREEN
15,Oscar,Schultz,90,Natev Highway,Bacupo,AA,09911,$9344.56,RED
16,Jordan,Christensen,33,Kasetu Court,Pevojwer,CA,62415,$5819.05,BLUE
17,Samantha,Manning,84,Hujjub Glen,Movecpi,OH,99915,$7097.61,WHITE
18,Cecilia,Lewis,17,Hidis Pass,Konewgu,SD,42679,$1381.07,RED
19,Reagan,Steele,96,Roeja Trail,Hagutu,MS,41043,$1770.87,GREEN
20,Declan,Robertson,39,Bawhis River,Laapour,LA,30442,$1047.23,YELLOW
21,Destiny,Harvey,16,Fetof Grove,Osivinlit,KY,15201,$2993.27,RED
22,Catherine,Blake,111,Fujup Plaza,Elikeb,MI,43686,$2140.39,YELLOW
23,Ariana,Rivera,75,Vakpi Boulevard,Huuhkav,AL,42430,$6628.45,WHITE
24,Brayden,Mack,78,Susod Manor,Ulaguozi,FM,70702,$8981.15,WHITE
25,Emmanuel,Moore,5,Udanin Avenue,Wuhnodseg,WY,49344,$2085.30,BLUE
